gtin14,jan3,jan4,jan13keta,indicator
04946329057782,494,4946,4946329057782,i0
04946329057812,494,4946,4946329057812,i0
04946329058963,494,4946,4946329058963,i0
04946329058970,494,4946,4946329058970,i0
04946329076844,494,4946,4946329076844,i0
04946329051520,494,4946,4946329051520,i0
04946329077278,494,4946,4946329077278,i0
04946329100013,494,4946,4946329100013,i0
04946329100020,494,4946,4946329100020,i0
04946329100037,494,4946,4946329100037,i0
04946329205695,494,4946,4946329205695,i0
04946329205701,494,4946,4946329205701,i0
04946329210231,494,4946,4946329210231,i0
04946329210248,494,4946,4946329210248,i0
04946329266047,494,4946,4946329266047,i0
04946329266054,494,4946,4946329266054,i0
04946329266061,494,4946,4946329266061,i0
04944287013871,494,4944,4944287013871,i0
04944287013888,494,4944,4944287013888,i0
04944287013895,494,4944,4944287013895,i0
04944287013901,494,4944,4944287013901,i0
04944287013918,494,4944,4944287013918,i0
04944287013925,494,4944,4944287013925,i0
04944287013932,494,4944,4944287013932,i0
04944287013949,494,4944,4944287013949,i0
04944287013956,494,4944,4944287013956,i0
04944287013963,494,4944,4944287013963,i0
04944287013970,494,4944,4944287013970,i0
04944287013987,494,4944,4944287013987,i0
04944287013994,494,4944,4944287013994,i0
04944287014007,494,4944,4944287014007,i0
04944287014014,494,4944,4944287014014,i0
04944287014021,494,4944,4944287014021,i0
04944287014038,494,4944,4944287014038,i0
04944287014045,494,4944,4944287014045,i0
04944287014052,494,4944,4944287014052,i0
04944287014069,494,4944,4944287014069,i0
04944287014076,494,4944,4944287014076,i0
04944287014557,494,4944,4944287014557,i0
04944287014564,494,4944,4944287014564,i0
04944287014571,494,4944,4944287014571,i0
04944287014588,494,4944,4944287014588,i0
04944287014595,494,4944,4944287014595,i0
04944287014601,494,4944,4944287014601,i0
04944287014618,494,4944,4944287014618,i0
04944287014625,494,4944,4944287014625,i0
04944287014632,494,4944,4944287014632,i0
04944287014649,494,4944,4944287014649,i0
04944287014663,494,4944,4944287014663,i0
04944287014670,494,4944,4944287014670,i0
04944287014687,494,4944,4944287014687,i0
04944287014694,494,4944,4944287014694,i0
04944287014700,494,4944,4944287014700,i0
04944287014779,494,4944,4944287014779,i0
04944287014786,494,4944,4944287014786,i0
04944287014793,494,4944,4944287014793,i0
04944287014809,494,4944,4944287014809,i0
04944287014816,494,4944,4944287014816,i0
04944287014823,494,4944,4944287014823,i0
04944287014830,494,4944,4944287014830,i0
04944287014847,494,4944,4944287014847,i0
04944287014854,494,4944,4944287014854,i0
04944287014861,494,4944,4944287014861,i0
04944287014878,494,4944,4944287014878,i0
04944287014885,494,4944,4944287014885,i0
04946306024622,494,4946,4946306024622,i0
04946306024639,494,4946,4946306024639,i0
04946306024646,494,4946,4946306024646,i0
04946306024660,494,4946,4946306024660,i0
04946306024677,494,4946,4946306024677,i0
04946306024684,494,4946,4946306024684,i0
04946306024875,494,4946,4946306024875,i0
04946306024899,494,4946,4946306024899,i0
04946306025995,494,4946,4946306025995,i0
04946306026107,494,4946,4946306026107,i0
04946306026114,494,4946,4946306026114,i0
04946306026138,494,4946,4946306026138,i0
04946306026145,494,4946,4946306026145,i0
04946306026169,494,4946,4946306026169,i0
04946306026176,494,4946,4946306026176,i0
04946306026183,494,4946,4946306026183,i0
04946306026206,494,4946,4946306026206,i0
04946306035369,494,4946,4946306035369,i0
04946306035376,494,4946,4946306035376,i0
04946306035383,494,4946,4946306035383,i0
04946306035390,494,4946,4946306035390,i0
04946306035406,494,4946,4946306035406,i0
04946306035413,494,4946,4946306035413,i0
04946306035420,494,4946,4946306035420,i0
04946306035437,494,4946,4946306035437,i0
04946306058412,494,4946,4946306058412,i0
04946306058429,494,4946,4946306058429,i0
04946306058436,494,4946,4946306058436,i0
04946306058443,494,4946,4946306058443,i0
04946306058450,494,4946,4946306058450,i0
04946306058467,494,4946,4946306058467,i0
04946306058474,494,4946,4946306058474,i0
04946306058481,494,4946,4946306058481,i0
