gtin14,jan3,jan4,jan13keta
54987350260739,498,4987,4987350260734
54987350260777,498,4987,4987350260772
54987350260852,498,4987,4987350260857
54987350260890,498,4987,4987350260895
54987350260937,498,4987,4987350260932
54987350260975,498,4987,4987350260970
54987350260999,498,4987,4987350260994
54987350261057,498,4987,4987350261052
54987350261095,498,4987,4987350261090
54987350261118,498,4987,4987350261113
54987350261132,498,4987,4987350261137
54987350261279,498,4987,4987350261274
54987350261293,498,4987,4987350261298
54987350261316,498,4987,4987350261311
54987350261378,498,4987,4987350261373
54987350261392,498,4987,4987350261397
54987350261415,498,4987,4987350261410
54987350261439,498,4987,4987350261434
54987350261453,498,4987,4987350261458
54987350261514,498,4987,4987350261519
54987350261552,498,4987,4987350261557
54987350261699,498,4987,4987350261694
54987350261774,498,4987,4987350261779
54987350261798,498,4987,4987350261793
54987350261811,498,4987,4987350261816
54987350261859,498,4987,4987350261854
54987350261873,498,4987,4987350261878
54987350261897,498,4987,4987350261892
54987350261910,498,4987,4987350261915
54987350261934,498,4987,4987350261939
54987350261958,498,4987,4987350261953
54987350261972,498,4987,4987350261977
54987350261996,498,4987,4987350261991
54987350262030,498,4987,4987350262035
54987350262054,498,4987,4987350262059
54987350262078,498,4987,4987350262073
54987350262115,498,4987,4987350262110
54987350262139,498,4987,4987350262134
54987350262177,498,4987,4987350262172
54987350262214,498,4987,4987350262219
54987350262252,498,4987,4987350262257
54987350262290,498,4987,4987350262295
54987350262313,498,4987,4987350262318
54987350262337,498,4987,4987350262332
54987350262351,498,4987,4987350262356
54987350262412,498,4987,4987350262417
54987350262436,498,4987,4987350262431
54987350262450,498,4987,4987350262455
54987350262535,498,4987,4987350262530
54987350262573,498,4987,4987350262578
54987350262597,498,4987,4987350262592
54987350262856,498,4987,4987350262851
54987350262870,498,4987,4987350262875
54987350262931,498,4987,4987350262936
54987350262979,498,4987,4987350262974
54987350262993,498,4987,4987350262998
54987350263013,498,4987,4987350263018
54987350263037,498,4987,4987350263032
54987350263075,498,4987,4987350263070
54987350263112,498,4987,4987350263117
54987350263136,498,4987,4987350263131
54987350263150,498,4987,4987350263155
54987350263174,498,4987,4987350263179
54987350263198,498,4987,4987350263193
54987350263211,498,4987,4987350263216
54987350263259,498,4987,4987350263254
54987350263273,498,4987,4987350263278
54987350263297,498,4987,4987350263292
54987350263310,498,4987,4987350263315
54987350263334,498,4987,4987350263339
54987350263372,498,4987,4987350263377
